Frequency (Hz)	Site Amp
100	4.170967
97.7181	4.154081
95.4883	4.13725
93.3093	4.120476
91.18	4.103761
89.0994	4.087104
87.0662	4.070504
85.0794	4.053962
83.138	4.037478
81.2409	4.021051
79.387	4.004681
77.5754	3.988367
75.8052	3.972112
74.0754	3.955913
72.3851	3.939771
70.7333	3.923684
69.1192	3.907655
67.542	3.891682
66.0007	3.875764
64.4947	3.859904
63.023	3.844099
61.5848	3.82835
60.1795	3.812659
58.8062	3.797022
57.4643	3.781441
56.1531	3.765917
54.8717	3.750447
53.6196	3.735033
52.396	3.719671
51.2004	3.704366
50.032	3.689114
48.8903	3.673917
47.7747	3.658775
46.6845	3.643686
45.6192	3.628651
44.5782	3.613671
43.561	3.598744
42.567	3.583871
41.5956	3.56905
40.6465	3.554285
39.7189	3.539569
38.8126	3.524909
37.9269	3.5103
37.0614	3.495744
36.2157	3.48124
35.3893	3.466789
34.5818	3.452391
33.7926	3.438042
33.0215	3.423746
32.268	3.409502
31.5317	3.395309
30.8121	3.381166
30.109	3.367075
29.422	3.353036
28.7506	3.339046
28.0945	3.325106
27.4534	3.311217
26.827	3.29738
26.2148	3.28359
25.6166	3.269851
25.032	3.256161
24.4608	3.242526
23.988321	3.231063
23.442283	3.217547
22.908672	3.204081
22.38721	3.190662
21.877611	3.177292
21.37962	3.163971
20.89296	3.150697
20.41738	3.137471
19.952621	3.124293
19.498443	3.111162
19.05461	3.098079
18.62087	3.085043
18.19701	3.072054
17.782793	3.059111
17.37801	3.046216
16.98244	3.033367
16.59587	3.020564
16.218101	3.007808
15.848933	2.995097
15.48817	2.982433
15.135614	2.969814
14.79108	2.957241
14.454392	2.944713
14.12537	2.93223
13.80384	2.919793
13.489624	2.9074
13.182563	2.895052
12.882492	2.882748
12.589251	2.870489
12.302684	2.858274
12.022642	2.846104
11.748973	2.833977
11.481534	2.821894
11.220183	2.809855
10.96478	2.797859
10.715192	2.785906
10.471284	2.773996
10.23293	2.76213
10	2.750306
9.772372	2.738525
9.549923	2.726786
9.332541	2.71509
9.120107	2.703436
8.912507	2.691824
8.709635	2.680254
8.511379	2.668725
8.317636	2.657238
8.128304	2.645793
7.943282	2.634389
7.762471	2.623026
7.585776	2.611704
7.413103	2.600422
7.24436	2.589182
7.079456	2.577981
6.918308	2.566822
6.760828	2.555702
6.606934	2.544623
6.456542	2.533593
6.309573	2.522681
6.165949	2.512017
6.025596	2.501599
5.888436	2.491416
5.754399	2.481454
5.623413	2.471704
5.495409	2.462154
5.370318	2.452794
5.248074	2.443614
5.128613	2.434606
5.011872	2.425761
4.897787	2.417069
4.7863	2.408522
4.677351	2.400114
4.570881	2.391837
4.466835	2.383683
4.365158	2.375645
4.265795	2.367718
4.168694	2.359894
4.073803	2.352169
3.981071	2.344534
3.890451	2.336986
3.801893	2.329519
3.715352	2.322127
3.63078	2.314805
3.548134	2.307549
3.467368	2.300353
3.388441	2.293212
3.311311	2.286124
3.235937	2.279082
3.162278	2.272083
3.090296	2.265124
3.019952	2.258201
2.951209	2.25131
2.884031	2.244448
2.818383	2.237612
2.754228	2.230798
2.691535	2.224004
2.630268	2.217228
2.570396	2.210465
2.511886	2.203714
2.454709	2.196973
2.398833	2.190238
2.344229	2.183509
2.290868	2.176782
2.238721	2.170056
2.187761	2.163329
2.137962	2.156601
2.089296	2.149868
2.041738	2.14313
1.995262	2.136385
1.949844	2.129632
1.905461	2.122872
1.862087	2.116101
1.819701	2.109321
1.778279	2.102529
1.737801	2.095727
1.698244	2.088913
1.659587	2.082088
1.62181	2.075252
1.584893	2.068404
1.548816	2.061546
1.513561	2.054677
1.479108	2.047799
1.44544	2.040913
1.412537	2.034019
1.380384	2.02712
1.348963	2.020215
1.318257	2.013308
1.28825	2.0064
1.258926	1.999493
1.230269	1.992588
1.202264	1.98569
1.174897	1.978799
1.148153	1.971919
1.122018	1.965053
1.096478	1.958204
1.071519	1.951374
1.047129	1.944567
1.023293	1.937785
1	1.931032
0.977237	1.924312
0.954993	1.917627
0.933254	1.910981
0.912011	1.904376
0.891251	1.897816
0.870964	1.891302
0.851138	1.884838
0.831764	1.878427
0.81283	1.872069
0.794328	1.865766
0.776247	1.85952
0.758578	1.853331
0.74131	1.847199
0.724436	1.841123
0.707946	1.835103
0.691831	1.829134
0.676083	1.823215
0.660693	1.81734
0.645654	1.811506
0.630957	1.805707
0.616595	1.79994
0.60256	1.7942
0.588844	1.788483
0.57544	1.782784
0.562341	1.777101
0.549541	1.771428
0.537032	1.765763
0.524807	1.7601
0.512861	1.754436
0.501187	1.748769
0.489779	1.743093
0.47863	1.737405
0.467735	1.731701
0.457088	1.725979
0.446684	1.720234
0.436516	1.714462
0.42658	1.708661
0.416869	1.702826
0.40738	1.696955
0.398107	1.691043
0.389045	1.685087
0.380189	1.679083
0.371535	1.673029
0.363078	1.666921
0.354813	1.660755
0.346737	1.654529
0.338844	1.64824
0.331131	1.641884
0.323594	1.635461
0.316228	1.628966
0.30903	1.622398
0.301995	1.615756
0.295121	1.609038
0.288403	1.602243
0.281838	1.595371
0.275423	1.588421
0.269153	1.581393
0.263027	1.574289
0.25704	1.567111
0.251189	1.55986
0.245471	1.552541
0.239883	1.545156
0.234423	1.537712
0.229087	1.530214
0.223872	1.52267
0.218776	1.515089
0.213796	1.507478
0.20893	1.499845
0.204174	1.492199
0.199526	1.484547
0.194984	1.476897
0.190546	1.469255
0.186209	1.461627
0.18197	1.454019
0.177828	1.446437
0.17378	1.438883
0.169824	1.431361
0.165959	1.423873
0.162181	1.416419
