z (km)	 Vs (km/sec)
0.000754	0.301637
0.000778	0.404043
0.000802	0.407217
0.000827	0.4104
0.000853	0.413609
0.00088	0.416843
0.000907	0.420102
0.000936	0.423388
0.000965	0.426699
0.000995	0.430036
0.001026	0.4334
0.001058	0.436791
0.001091	0.440208
0.001126	0.443653
0.001161	0.447124
0.001197	0.450623
0.001235	0.45415
0.001273	0.457705
0.001313	0.461287
0.001354	0.464897
0.001397	0.468534
0.00144	0.472189
0.001486	0.475883
0.001532	0.479606
0.00158	0.483357
0.00163	0.487138
0.001681	0.490949
0.001733	0.494791
0.001788	0.49867
0.001844	0.502572
0.001901	0.506504
0.001961	0.510468
0.002022	0.514462
0.002086	0.518488
0.002151	0.522545
0.002218	0.526635
0.002288	0.530756
0.00236	0.53491
0.002434	0.539096
0.00251	0.543315
0.002588	0.547568
0.00267	0.551854
0.002753	0.556173
0.00284	0.560527
0.002929	0.564915
0.00302	0.569337
0.003115	0.573793
0.003213	0.578285
0.003313	0.582812
0.003417	0.587374
0.003524	0.591973
0.003635	0.596607
0.003749	0.601278
0.003866	0.605985
0.003987	0.61073
0.004112	0.615512
0.004241	0.620331
0.004374	0.625187
0.004511	0.630083
0.004653	0.635016
0.004798	0.639989
0.004949	0.644945
0.00508	0.649314
0.005238	0.654332
0.005402	0.659443
0.005571	0.664594
0.005745	0.669785
0.005925	0.675017
0.00611	0.68029
0.006301	0.685604
0.006499	0.69096
0.006702	0.696357
0.006911	0.701797
0.007128	0.70728
0.00735	0.712805
0.00758	0.718373
0.007817	0.723985
0.008062	0.729641
0.008314	0.735341
0.008574	0.741086
0.008842	0.746876
0.009119	0.752711
0.009404	0.758591
0.009698	0.764518
0.010002	0.770491
0.010314	0.776511
0.010637	0.782577
0.01097	0.788692
0.011313	0.794854
0.011667	0.801064
0.012032	0.807322
0.012408	0.81363
0.012796	0.819987
0.013196	0.826394
0.013609	0.832851
0.014035	0.839358
0.014474	0.845916
0.014927	0.852526
0.015394	0.859187
0.015875	0.8659
0.016372	0.872666
0.016884	0.879485
0.017412	0.886357
0.017957	0.893283
0.018518	0.900263
0.019098	0.907297
0.019695	0.914387
0.020311	0.921532
0.020947	0.928732
0.021602	0.93599
0.022278	0.943303
0.022975	0.950674
0.023694	0.958103
0.024435	0.96559
0.025199	0.973135
0.025988	0.980739
0.026801	0.988402
0.027639	0.996124
0.028504	1.003904
0.029395	1.01154
0.030313	1.017686
0.031255	1.020774
0.032222	1.023695
0.033214	1.026681
0.034233	1.029736
0.035278	1.03286
0.036351	1.036055
0.037452	1.039322
0.038583	1.042664
0.039743	1.04608
0.040935	1.049574
0.042159	1.053145
0.043415	1.056797
0.044705	1.06053
0.046031	1.064346
0.047392	1.068247
0.048789	1.072233
0.050225	1.076307
0.0517	1.080471
0.053215	1.084727
0.054772	1.089076
0.056372	1.093522
0.058015	1.098066
0.059704	1.102712
0.06144	1.107461
0.063224	1.112316
0.065058	1.117279
0.066943	1.122352
0.06888	1.127536
0.070873	1.132831
0.072921	1.138237
0.075027	1.143754
0.077193	1.149382
0.07942	1.155121
0.081711	1.160973
0.084067	1.166941
0.086491	1.173026
0.088984	1.179228
0.091549	1.185548
0.094188	1.191987
0.096904	1.198545
0.099698	1.205223
0.102573	1.21202
0.105532	1.218937
0.108577	1.225975
0.111712	1.233132
0.114938	1.240409
0.11826	1.247805
0.121679	1.25532
0.125199	1.262952
0.128823	1.270701
0.132555	1.278565
0.136397	1.286542
0.140353	1.29463
0.144428	1.302828
0.148623	1.311133
0.152944	1.31954
0.157395	1.328047
0.161978	1.33665
0.166699	1.345344
0.171561	1.354124
0.176569	1.362984
0.181727	1.371919
0.18704	1.380922
0.192512	1.389984
0.198149	1.3991
0.203954	1.408259
0.209934	1.417454
0.216092	1.426674
0.222435	1.435909
0.228968	1.44515
0.235695	1.454384
0.242623	1.4636
0.249757	1.472786
0.257102	1.48193
0.264664	1.49102
0.272449	1.500046
0.280463	1.508996
0.288712	1.51786
0.297202	1.526628
0.305939	1.535289
0.314929	1.543837
0.324179	1.552261
0.333694	1.560557
0.343483	1.568719
0.35355	1.576744
0.363904	1.58463
0.374551	1.59238
0.385497	1.599999
0.396752	1.607493
0.408321	1.614874
0.420213	1.62216
0.432436	1.629371
0.444999	1.636533
0.457911	1.643682
0.471181	1.650856
0.48482	1.658105
0.498838	1.665486
0.513249	1.673056
0.528063	1.680838
0.543295	1.688839
0.558958	1.697066
0.575065	1.705527
0.591632	1.714228
0.608673	1.723179
0.626204	1.732388
0.644241	1.741862
0.662803	1.751612
0.681905	1.761645
0.701567	1.771973
0.721807	1.782605
0.742646	1.793552
0.764105	1.804824
0.786204	1.816432
0.808968	1.82839
0.832418	1.840709
0.85658	1.853401
0.881479	1.866481
0.907143	1.879963
0.933598	1.89386
0.960875	1.908189
0.989003	1.922965
1.018014	1.938205
1.047941	1.953922
1.07882	1.970127
1.110686	1.98683
1.143577	2.00404
1.177531	2.021765
1.21259	2.040011
1.248795	2.058785
1.286192	2.078089
1.324824	2.097925
1.364741	2.11829
1.40599	2.13918
1.448622	2.160587
1.492689	2.182496
1.538246	2.204891
1.585348	2.227747
1.634049	2.251034
1.68441	2.274713
1.736488	2.298735
1.790342	2.323045
1.846033	2.347572
1.90362	2.372234
1.963162	2.396935
2.024717	2.421562
2.088341	2.446032
2.154095	2.470312
2.222035	2.494378
2.292222	2.518211
2.364717	2.541797
2.439582	2.565126
2.516878	2.5882
2.596673	2.611029
2.679034	2.633634
2.76403	2.65605
2.851736	2.678328
2.942229	2.700535
3.035593	2.72276
3.131914	2.745075
3.231284	2.76751
3.333797	2.790106
3.439558	2.81291
3.548669	2.835982
3.661243	2.859397
3.777402	2.883247
3.89727	2.907641
4.020988	2.93271
4.148703	2.958558
4.280571	2.985166
4.416743	3.012482
4.557379	3.04044
4.702645	3.068956
4.852691	3.097924
5.007689	3.127218
5.167795	3.15672
5.333169	3.186409
5.503983	3.216299
5.680407	3.246408
5.862636	3.276764
6.050822	3.306906
